"date","cust","sales"
1995-06-01,451095,5
1995-06-01,501757,10
1995-06-01,671801,20
1995-06-01,1504191,5
1995-06-01,1662943,5
1995-06-01,1672933,20
1995-06-01,1861989,5
1995-06-01,2481584,5
1995-06-01,2694427,5
1995-06-01,2834881,12
1995-06-01,2964727,10
1995-06-01,2984404,25
1995-06-01,3101107,5
1995-06-01,3350861,5
1995-06-01,3420444,27
1995-06-01,3550148,3
1995-06-01,4410090,10
1995-06-01,4553432,5
1995-06-01,4610464,5
1995-06-01,4626752,75
1995-06-01,5042879,10
1995-06-01,5048686,10
1995-06-01,5179601,10
1995-06-01,5295940,20
1995-06-01,5363851,10
1995-06-01,5502396,11
1995-06-01,5846421,10
1995-06-01,5905242,5
1995-06-01,5976883,15
1995-06-01,6131664,10
1995-06-01,6217702,10
1995-06-01,6238512,5
1995-06-01,6374006,5
1995-06-01,6377327,5
1995-06-01,6400700,10
1995-06-01,6453841,10
1995-06-01,6468317,10
1995-06-01,6543312,10
1995-06-01,6609043,5
1995-06-01,6633775,5
1995-06-01,6650111,3
1995-06-01,6695376,5
1995-06-01,6900142,5
1995-06-01,6922705,5
1995-06-01,6982463,5
1995-06-01,7050138,5
1995-06-01,7337192,25
1995-06-01,7348126,5
1995-06-01,7351812,10
1995-06-01,7354992,4
1995-06-01,7368726,25
1995-06-01,7485261,5
1995-06-01,7643174,10
1995-06-01,7715856,10
1995-06-01,7734356,3
1995-06-01,7735051,20
1995-06-01,7799235,10
1995-06-01,7817224,25
1995-06-01,7823301,3
1995-06-01,7872451,10
1995-06-01,7958268,15
1995-06-01,8032300,10
1995-06-01,8073248,10
1995-06-01,8093936,5
1995-06-01,8149845,10
1995-06-01,8170685,10
1995-06-01,8248701,25
1995-06-01,8261492,25
1995-06-01,8265037,10
1995-06-01,8304992,5
1995-06-01,8308308,5
1995-06-01,8442334,3
1995-06-01,8446937,5
1995-06-01,8469871,5
1995-06-01,8514568,5
1995-06-01,8546698,10
1995-06-01,8563416,5
1995-06-01,8578051,20
1995-06-01,8609059,2
1995-06-01,8612907,5
1995-06-01,8667600,8
1995-06-01,8674330,10
1995-06-01,8705408,5
1995-06-01,8780963,10
1995-06-01,8863325,5
1995-06-01,8869933,20
1995-06-01,8901194,20
1995-06-01,8928322,10
1995-06-01,8935166,5
1995-06-01,8935166,5
1995-06-01,8948629,10
1995-06-01,9008121,3
1995-06-01,9030729,15
1995-06-01,9076869,20
1995-06-01,9093729,20
1995-06-01,9095035,20
1995-06-01,9102542,5
1995-06-01,9105574,10
1995-06-01,9112341,3
1995-06-01,9184978,20
1995-06-01,9211293,3
1995-06-01,9220367,8
1995-06-01,9233882,10
1995-06-01,9302046,12
1995-06-01,9315491,12
1995-06-01,9332330,10
1995-06-01,9343534,5
1995-06-01,9344937,5
1995-06-01,9355765,3
1995-06-01,9357737,10
1995-06-01,9403359,5
1995-06-01,9444906,20
1995-06-01,9452041,10
1995-06-01,9495656,5
1995-06-01,9589329,5
1995-06-01,9594614,20
1995-06-01,9600353,2
1995-06-01,9669587,10
1995-06-01,9759559,5
1995-06-01,9783704,15
1995-06-01,9861192,14
1995-06-01,9871929,5
1995-06-01,9882375,3
1995-06-01,9886943,15
1995-06-01,9886943,15
1995-06-01,9906453,10
1995-06-01,9920823,2
1995-06-01,9922062,10
1995-06-01,9947138,5
1995-06-01,9956368,20
1995-06-01,9958845,20
1995-06-01,9962180,15
1995-06-01,10023523,3
1995-06-01,10052330,10
1995-06-01,10054675,20
1995-06-01,10066739,5
1995-06-01,10091091,12
1995-06-01,10094083,10
1995-06-01,10220077,8
1995-06-01,10251890,10
1995-06-01,10252445,10
1995-06-01,10276692,5
1995-06-01,10287815,5
1995-06-01,10304931,4
1995-06-01,10334684,5
1995-06-01,10355189,5
1995-06-01,10365703,10
1995-06-01,10395940,5
1995-06-01,10406252,5
1995-06-01,10411601,5
1995-06-01,10440634,5
1995-06-01,10455910,10
1995-06-01,10458057,25
1995-06-01,10494873,5
