"ACCNTNMB","TARGDOL","TARGRESP"
1880,0,0
5654,0,0
24600,0,0
35602,0,0
39827,0,0
41554,5,1
43262,0,0
45277,0,0
48419,5,1
50100,0,0
62248,0,0
68607,0,0
70169,0,0
74523,0,0
80750,0,0
82722,0,0
84415,0,0
86833,0,0
89987,20,1
92779,0,0
97395,0,0
99748,0,0
103179,0,0
106194,0,0
111221,10,1
112107,0,0
112956,0,0
115309,0,0
117635,10,1
125168,5,1
125854,5,1
132632,0,0
134702,0,0
137745,0,0
141629,0,0
146491,0,0
151723,0,0
161089,0,0
163209,0,0
168812,0,0
178558,0,0
192433,0,0
196391,0,0
198678,2,1
203436,0,0
217762,0,0
222270,0,0
226023,25,1
233607,0,0
234261,0,0
241518,7,1
248682,0,0
256840,0,0
258102,0,0
263190,0,0
265396,0,0
266396,0,0
267866,0,0
276965,0,0
284114,0,0
284615,0,0
292187,0,0
299803,50,1
302540,0,0
303681,0,0
304714,0,0
312493,25,1
314592,0,0
315117,0,0
317394,0,0
322967,0,0
329196,0,0
333925,0,0
341709,0,0
350531,0,0
352692,0,0
360498,0,0
361508,0,0
363449,0,0
370389,5,1
376913,0,0
379817,0,0
383106,0,0
386126,0,0
399205,0,0
416220,0,0
417932,20,1
418340,0,0
427044,0,0
433458,0,0
438840,0,0
445974,0,0
451095,2,1
452550,0,0
453356,0,0
457594,0,0
464539,25,1
465094,0,0
473395,0,0
479903,0,0
484277,0,0
492051,5,1
492539,0,0
498757,0,0
501363,10,1
501757,10,1
507488,0,0
508014,0,0
510743,0,0
511793,0,0
521909,0,0
549689,5,1
550820,0,0
573617,0,0
576104,10,1
585162,0,0
595173,0,0
597294,0,0
603027,0,0
606489,0,0
623906,0,0
626545,0,0
629803,0,0
630704,0,0
632262,0,0
655376,0,0
657327,0,0
666895,0,0
668275,0,0
671801,10,1
672242,0,0
676678,0,0
679933,0,0
681875,0,0
688470,0,0
689371,10,1
693340,12,1
698404,0,0
709227,0,0
711725,20,1
716933,0,0
717591,0,0
721259,0,0
724233,25,1
729981,0,0
734191,0,0
735339,0,0
739716,5,1
740649,25,1
745585,20,1
748794,0,0
752054,0,0
773155,0,0
776920,0,0
784128,0,0
788714,0,0
789721,0,0
819921,0,0
823489,0,0
826803,50,1
828965,0,0
835902,5,1
837489,0,0
837902,100,1
839606,0,0
846106,0,0
849366,0,0
854305,0,0
854815,0,0
857236,0,0
859416,0,0
863300,0,0
871322,0,0
878334,0,0
881658,0,0
884251,0,0
886017,0,0
899267,0,0
903460,0,0
908506,0,0
912131,0,0
916211,0,0
919829,0,0
926906,0,0
932408,0,0
936448,0,0
948334,0,0
959001,5,1
961216,0,0
962340,0,0
962921,0,0
964333,0,0
964675,0,0
969866,0,0
985099,5,1
988760,0,0
1005403,0,0
1007984,0,0
1012865,2,1
1021836,0,0
1031030,0,0
1031622,0,0
1042425,0,0
1067461,15,1
1081718,0,0
1096400,0,0
1106392,0,0
1121890,0,0
1123799,0,0
1139239,0,0
1140214,0,0
1145255,0,0
1157641,0,0
1180315,0,0
1183886,0,0
1188472,0,0
1188809,10,1
1189175,0,0
1193180,0,0
1194237,0,0
1213455,0,0
1231769,0,0
1233492,0,0
1246976,5,1
1259912,0,0
1272760,0,0
1285526,0,0
1288624,0,0
1295963,0,0
1296482,0,0
1297831,0,0
1307043,0,0
1311018,0,0
1312378,0,0
1324584,0,0
1328558,10,1
1336507,0,0
1337096,0,0
1341076,0,0
1360861,0,0
1391241,0,0
1394156,0,0
1398604,10,1
1418559,0,0
1427185,0,0
1430328,0,0
1439238,0,0
1447727,5,1
1475320,0,0
1477281,0,0
1485750,0,0
1487113,5,1
1499838,0,0
1504191,0,0
1513294,0,0
1517057,0,0
1528525,0,0
1530136,0,0
1535668,0,0
1537241,0,0
1539432,0,0
1545509,0,0
1546356,0,0
1548176,0,0
1549514,5,1
1552387,0,0
1555067,0,0
1556973,0,0
1560064,0,0
1563945,15,1
1570292,10,1
1579757,0,0
1588324,15,1
1591084,75,1
1599470,0,0
1601654,0,0
1604502,0,0
1608748,0,0
1612103,0,0
1613253,0,0
1620251,10,1
1620766,0,0
1628945,0,0
1634050,0,0
1634704,0,0
1652709,0,0
1654670,10,1
1655931,20,1
1656836,0,0
1660756,0,0
1662943,0,0
1665472,0,0
1666923,0,0
1667292,0,0
1672933,0,0
1675155,0,0
1676850,0,0
1678079,0,0
1693576,0,0
1699101,0,0
1704403,0,0
1705046,0,0
1710528,0,0
1718096,0,0
1718564,0,0
1720438,0,0
1723344,0,0
1730111,0,0
1740438,0,0
1741810,0,0
1747317,5,1
1750840,0,0
1753470,0,0
1763863,0,0
1765267,12,1
1774160,0,0
1777715,0,0
1778888,0,0
1784975,0,0
1801189,0,0
1824517,0,0
1827289,20,1
1837457,0,0
1850619,0,0
1858240,0,0
1861989,5,1
1863230,0,0
1873223,10,1
1884751,0,0
1886539,0,0
1886932,0,0
1887374,0,0
1892337,0,0
1896436,10,1
1903562,0,0
1909985,0,0
1910615,0,0
1923675,0,0
1928633,10,1
1942383,20,1
1944167,0,0
1948390,0,0
1951390,0,0
1953270,30,1
1961152,0,0
1971830,0,0
1978844,0,0
1979426,0,0
1983746,5,1
1985016,0,0
1987860,0,0
1988472,25,1
1990681,0,0
1999615,0,0
2005749,10,1
2014298,0,0
2022900,0,0
2028354,10,1
2028833,0,0
2034071,0,0
2034898,0,0
2035612,0,0
2038639,0,0
2041737,5,1
2044244,0,0
2050487,0,0
2056333,0,0
2066754,0,0
2071325,0,0
2072845,0,0
2075511,0,0
2076199,0,0
2079311,0,0
2080506,0,0
2081045,0,0
2083488,0,0
2084209,5,1
2088170,5,1
2112414,0,0
2116177,10,1
2120874,0,0
2125884,0,0
2133295,0,0
2134115,0,0
2150159,0,0
2156778,0,0
2159460,0,0
2160180,0,0
2161302,0,0
2162072,0,0
2162638,0,0
2174426,10,1
2210122,0,0
2213802,0,0
2224377,0,0
2226627,0,0
2229792,0,0
2231810,15,1
2243568,0,0
2245154,0,0
2256364,0,0
2259691,0,0
2261128,0,0
2268098,0,0
2278181,10,1
2281700,0,0
2283696,5,1
2287369,0,0
2287890,0,0
2316874,5,1
2330825,0,0
2335224,0,0
2346573,0,0
2373108,0,0
2377478,0,0
2381144,0,0
2409220,0,0
2415391,0,0
2424156,0,0
2430775,0,0
2432124,0,0
2439053,0,0
2447106,0,0
2454896,0,0
2470675,10,1
2473207,0,0
2475973,0,0
2477363,0,0
2481584,0,0
2488760,25,1
2493739,0,0
2498028,0,0
2511009,0,0
2511861,5,1
2515993,0,0
2525721,5,1
2544789,0,0
2546379,5,1
2546986,0,0
2548351,0,0
2552893,0,0
2560177,0,0
2575875,25,1
2579309,0,0
2583946,0,0
2589667,0,0
2596475,0,0
2602312,0,0
2607453,0,0
2609432,6,1
2626219,0,0
2636857,0,0
2645681,5,1
2651523,0,0
2654493,0,0
2658198,5,1
2668081,0,0
2679943,0,0
2688107,0,0
2688669,0,0
2694427,5,1
2699323,0,0
2711886,0,0
2716572,15,1
2718870,0,0
2719450,0,0
2727800,0,0
2733167,0,0
2735461,25,1
2740740,0,0
2742883,0,0
2746662,0,0
2752870,0,0
2764111,0,0
2766501,0,0
2774778,20,1
2782872,0,0
2783803,20,1
2794856,8,1
2799950,0,0
2802192,0,0
2802688,0,0
2805327,0,0
2809474,0,0
2815894,0,0
2834881,0,0
2839359,0,0
2844812,0,0
2849609,0,0
2850332,5,1
2855444,0,0
2866436,10,1
2868698,0,0
2870698,0,0
2871155,10,1
2874113,0,0
2879447,3,1
2890365,0,0
2910332,0,0
2913230,0,0
2921430,0,0
2924572,0,0
2925169,0,0
2927483,0,0
2939896,0,0
2949304,0,0
2956186,0,0
2959164,0,0
2962618,0,0
2964727,0,0
2977572,0,0
2978556,0,0
2981679,0,0
2984404,0,0
2991446,20,1
2999828,0,0
3007942,0,0
3011048,0,0
3013150,0,0
3018589,0,0
3031307,0,0
3054327,5,1
3083416,0,0
3091916,15,1
3092517,0,0
3094502,0,0
3101107,5,1
3105220,0,0
3117521,0,0
3126109,0,0
3139331,10,1
3141198,10,1
3143952,0,0
3147443,0,0
3147867,50,1
3149842,0,0
3152821,15,1
3156894,15,1
3161108,0,0
3163160,0,0
3165282,0,0
3169837,0,0
3180562,0,0
3189660,0,0
3193939,0,0
3199922,0,0
3211071,20,1
3216606,0,0
3218432,0,0
3223129,0,0
3227586,15,1
3230166,0,0
3241941,0,0
3245962,0,0
3250430,0,0
3272507,0,0
3273201,0,0
3284133,0,0
3290586,0,0
3297816,0,0
3298330,0,0
3298865,0,0
3304148,0,0
3304662,0,0
3314027,5,1
3325413,0,0
3328031,0,0
3336599,0,0
3340560,5,1
3347222,0,0
3350861,0,0
3366618,10,1
3372882,0,0
3373837,0,0
3395971,0,0
3412510,0,0
3416764,25,1
3420444,0,0
3426219,10,1
3427348,0,0
3433525,25,1
3434917,15,1
3462457,0,0
3475850,0,0
3477812,10,1
3478310,0,0
3480404,0,0
3480833,2,1
3481299,5,1
3501481,0,0
3520765,0,0
3529281,0,0
3533911,0,0
3539527,0,0
3540050,0,0
3542631,0,0
3547235,0,0
3550148,5,1
3582813,0,0
3583243,0,0
3593072,0,0
3601970,0,0
3604985,5,1
3607323,5,1
3609584,5,1
3620001,0,0
3621279,5,1
3628924,0,0
3645852,0,0
3650571,0,0
3651102,0,0
3657439,0,0
3665113,0,0
3677055,25,1
3678261,0,0
3683107,0,0
3689749,0,0
3694936,0,0
3726905,0,0
3732287,0,0
3735471,5,1
3748233,0,0
3751096,0,0
3752869,10,1
3755083,0,0
3756378,10,1
3773910,25,1
3776274,0,0
3789169,20,1
3810256,10,1
3811251,0,0
3812681,0,0
3820323,0,0
3822250,0,0
3835801,0,0
3836745,0,0
3851701,0,0
3853307,15,1
3863961,0,0
3866271,0,0
3872176,0,0
3873906,0,0
3884276,0,0
3895617,0,0
3896765,0,0
3897373,0,0
3899063,0,0
3900266,0,0
3909434,0,0
3917781,0,0
3918308,0,0
3921209,0,0
3928398,0,0
3933747,0,0
3935103,0,0
3936642,25,1
3942658,0,0
3956389,0,0
3960425,0,0
3964563,3,1
3970316,0,0
3996204,0,0
4010596,0,0
4011089,0,0
4014973,0,0
4032874,10,1
4036621,15,1
4055102,0,0
4057866,0,0
4062083,0,0
4068577,0,0
4086051,0,0
4092122,5,1
4092667,0,0
4111241,25,1
4113755,5,1
4120856,0,0
4142728,0,0
4160381,30,1
4164824,5,1
4167636,0,0
4169779,5,1
4171199,0,0
4173550,0,0
4180796,0,0
4186280,2,1
4203920,0,0
4207373,0,0
4210667,0,0
4215951,0,0
4218532,0,0
4219716,0,0
4223264,0,0
4228378,0,0
4235009,0,0
4237224,0,0
4247284,0,0
4263425,10,1
4264025,0,0
4281104,10,1
4297581,0,0
4317107,0,0
4317721,0,0
4333145,5,1
4335081,50,1
4335821,0,0
4341906,0,0
4345956,0,0
4346760,0,0
4351888,0,0
4352691,10,1
4353435,0,0
4369141,0,0
4370512,10,1
4381905,0,0
4384552,0,0
4392526,0,0
4399513,25,1
4408894,0,0
4410090,10,1
4420859,15,1
4421545,0,0
4435169,0,0
4441441,0,0
4451209,25,1
4455940,0,0
4458294,0,0
4463749,0,0
4466044,0,0
4470517,10,1
4472684,0,0
4475520,5,1
4477290,0,0
4487545,20,1
4496474,0,0
4499336,0,0
4505415,15,1
4507200,0,0
4510299,0,0
4514180,50,1
4514866,0,0
4522696,2,1
4539827,0,0
4545285,0,0
4546631,10,1
4551930,0,0
4553432,0,0
4557105,0,0
4559458,0,0
4571307,0,0
4573925,0,0
4577913,0,0
4578550,0,0
4588335,10,1
4595677,0,0
4596980,35,1
4598993,0,0
4601227,0,0
4607057,0,0
4608865,0,0
4610464,0,0
4614939,10,1
4619462,10,1
4626752,0,0
4628228,0,0
4631315,10,1
4631883,0,0
4649500,0,0
4654518,10,1
4657900,0,0
4664844,0,0
4667037,0,0
4668305,0,0
4673994,0,0
4674550,0,0
4679455,10,1
4680619,0,0
4698167,0,0
4701047,0,0
4707825,0,0
4709059,25,1
4725003,0,0
4729656,0,0
4736049,0,0
4741282,5,1
4745556,0,0
4752763,0,0
4760886,0,0
4766936,0,0
4769191,0,0
4773756,0,0
4781570,0,0
4782051,0,0
4784498,0,0
4836941,0,0
4838538,0,0
4841184,0,0
4857142,0,0
4858723,25,1
4860476,0,0
4891412,0,0
4902898,0,0
4912267,0,0
4913591,0,0
4914851,10,1
4921210,0,0
4922820,0,0
4923809,0,0
4927188,0,0
4928935,0,0
4932842,0,0
4934422,0,0
4941740,0,0
4950206,0,0
4952954,0,0
4953937,0,0
4956861,0,0
4957855,0,0
4959627,0,0
4961154,5,1
4972811,15,1
4976442,0,0
4977900,0,0
4985160,0,0
4986592,7,1
4995437,0,0
5008794,0,0
5009975,0,0
5016926,0,0
5022330,0,0
5022918,10,1
5024129,0,0
5025290,0,0
5035273,0,0
5035640,0,0
5037791,0,0
5041646,0,0
5042879,10,1
5047568,0,0
5048686,5,1
5051935,0,0
5054477,0,0
5056439,0,0
5057405,0,0
5059355,0,0
5060435,25,1
5064249,0,0
5064540,0,0
5072449,0,0
5079366,0,0
5083732,0,0
5085129,0,0
5087827,0,0
5088521,0,0
5093408,0,0
5104540,0,0
5111843,0,0
5115269,0,0
5115674,0,0
5116512,0,0
5117644,0,0
5124645,0,0
5131224,20,1
5134436,0,0
5138299,10,1
5139815,0,0
5144607,10,1
5155898,0,0
5158140,0,0
5162351,0,0
5165112,0,0
5167615,0,0
5170334,0,0
5176776,0,0
5179601,20,1
5190687,0,0
5191055,0,0
5196357,0,0
5200518,0,0
5200829,0,0
5202145,0,0
5205449,0,0
5206967,0,0
5215247,0,0
5218859,7,1
5226499,0,0
5230881,0,0
5232146,0,0
5232954,0,0
5233967,0,0
5239424,0,0
5247087,0,0
5269838,0,0
5272409,0,0
5275405,0,0
5276533,0,0
5277122,0,0
5281123,0,0
5288738,0,0
5291552,0,0
5292767,0,0
5295940,0,0
5298626,0,0
5324362,10,1
5331359,0,0
5336276,0,0
5343952,0,0
5351596,0,0
5362851,0,0
5363851,20,1
5374859,15,1
5377699,0,0
5384649,0,0
5386628,0,0
5391104,0,0
5397869,5,1
5401021,0,0
5405962,0,0
5408530,0,0
5412696,0,0
5413350,0,0
5420198,0,0
5424518,0,0
5438753,0,0
5439913,0,0
5453067,0,0
5457399,0,0
5458182,0,0
5460059,25,1
5461996,10,1
5462743,0,0
5473391,0,0
5474826,0,0
5479312,0,0
5485360,0,0
5486973,0,0
5489778,0,0
5492337,0,0
5495105,0,0
5496325,5,1
5497182,0,0
5498988,0,0
5502396,5,1
5508909,0,0
5510305,0,0
5511142,0,0
5517279,15,1
5522208,0,0
5528367,25,1
5528859,10,1
5533126,0,0
5533714,0,0
5534677,0,0
5536826,0,0
5541231,0,0
5542105,0,0
5552305,0,0
5556973,0,0
5565082,0,0
5570969,0,0
5577723,0,0
5579318,0,0
5579700,0,0
5581891,15,1
5582506,0,0
5583847,0,0
5587020,5,1
5594867,0,0
5596405,0,0
5600493,0,0
5605304,0,0
5614346,10,1
5616458,0,0
5624067,0,0
5626518,0,0
5636498,0,0
5641605,0,0
5644117,0,0
5647874,0,0
5652095,0,0
5658311,0,0
5661080,0,0
5664728,0,0
