"date","cust","sales"
1994-11-01,35602,10
1994-11-01,41554,5
1994-11-01,68607,5
1994-11-01,86833,5
1994-11-01,256840,20
1994-11-01,276965,10
1994-11-01,302540,10
1994-11-01,315117,10
1994-11-01,322967,20
1994-11-01,597294,10
1994-11-01,716933,15
1994-11-01,899267,10
1994-11-01,1067461,20
1994-11-01,1106392,10
1994-11-01,1189175,20
1994-11-01,1398604,10
1994-11-01,1535668,30
1994-11-01,1552387,10
1994-11-01,1634050,2
1994-11-01,1672933,15
1994-11-01,1675155,25
1994-11-01,1704403,10
1994-11-01,1710528,10
1994-11-01,1723344,10
1994-11-01,1801189,20
1994-11-01,1944167,10
1994-11-01,1988472,25
1994-11-01,2028833,5
1994-11-01,2156778,10
1994-11-01,2243568,25
1994-11-01,2515993,5
1994-11-01,2552893,15
1994-11-01,2583946,10
1994-11-01,2607453,10
1994-11-01,2654493,10
1994-11-01,2694427,5
1994-11-01,2735461,25
1994-11-01,2959164,10
1994-11-01,2991446,20
1994-11-01,3165282,25
1994-11-01,3211071,15
1994-11-01,3272507,10
1994-11-01,3475850,10
1994-11-01,3547235,30
1994-11-01,3609584,5
1994-11-01,3665113,10
1994-11-01,3909434,25
1994-11-01,4092667,10
1994-11-01,4223264,10
1994-11-01,4263425,10
1994-11-01,4335081,50
1994-11-01,4345956,20
1994-11-01,4352691,5
1994-11-01,4410090,10
1994-11-01,4441441,10
1994-11-01,4451209,25
1994-11-01,4514866,20
1994-11-01,4559458,5
1994-11-01,4607057,20
1994-11-01,4608865,25
1994-11-01,4950206,25
1994-11-01,4995437,10
1994-11-01,5037791,10
1994-11-01,5054477,10
1994-11-01,5064540,10
1994-11-01,5085129,20
1994-11-01,5144607,10
1994-11-01,5196357,10
1994-11-01,5247087,10
1994-11-01,5291552,20
1994-11-01,5424518,20
1994-11-01,5486973,5
1994-11-01,5552305,10
1994-11-01,5582506,5
1994-11-01,5596405,3
1994-11-01,5683095,20
1994-11-01,5703025,5
1994-11-01,5812711,10
1994-11-01,5846421,5
1994-11-01,5868840,3
1994-11-01,5872612,10
1994-11-01,5899614,5
1994-11-01,5912331,10
1994-11-01,5931182,5
1994-11-01,5938789,15
1994-11-01,5955721,10
1994-11-01,6007629,25
1994-11-01,6032355,5
1994-11-01,6039053,10
1994-11-01,6065376,5
1994-11-01,6101898,20
1994-11-01,6117763,6
1994-11-01,6130928,10
1994-11-01,6152829,10
1994-11-01,6180646,25
1994-11-01,6200762,10
1994-11-01,6220632,15
1994-11-01,6246976,5
1994-11-01,6310164,5
1994-11-01,6325516,3
1994-11-01,6363888,5
1994-11-01,6386180,15
1994-11-01,6390935,20
1994-11-01,6391818,10
1994-11-01,6485810,25
1994-11-01,6548029,20
1994-11-01,6587038,10
1994-11-01,6641339,20
1994-11-01,6712741,10
1994-11-01,6745481,2
1994-11-01,6809119,10
1994-11-01,6911377,3
1994-11-01,6928554,15
1994-11-01,6934904,15
1994-11-01,6987924,25
1994-11-01,7075860,5
1994-11-01,7098093,20
1994-11-01,7126291,35
1994-11-01,7129643,2
1994-11-01,7133644,20
1994-11-01,7144673,10
1994-11-01,7158364,15
1994-11-01,7168231,10
1994-11-01,7171940,15
1994-11-01,7202620,10
1994-11-01,7217205,25
1994-11-01,7255888,10
1994-11-01,7267771,5
1994-11-01,7332490,20
1994-11-01,7337913,15
1994-11-01,7351812,10
1994-11-01,7463924,10
